Year,Month,Rainfall
1991,January,38.2847
1991,February,12.7492
1991,March,73.3656
1991,April,83.135
1991,May,112.275
1991,June,33.6106
1991,July,36.6575
1991,August,32.8066
1991,September,18.3184
1991,October,41.2266
1991,November,60.2294
1991,December,53.4232
1992,January,10.2491
1992,February,15.9125
1992,March,17.0754
1992,April,119.919
1992,May,80.6001
1992,June,30.0842
1992,July,35.1079
1992,August,28.0127
1992,September,24.3121
1992,October,47.1624
1992,November,106.824
1992,December,98.4172
1993,January,80.9318
1993,February,53.6675
1993,March,24.0511
1993,April,77.5293
1993,May,110.664
1993,June,50.2024
1993,July,14.9912
1993,August,21.9237
1993,September,15.6103
1993,October,42.0606
1993,November,75.1036
1993,December,40.1232
1994,January,6.64417
1994,February,17.6202
1994,March,47.8114
1994,April,111.038
1994,May,82.2793
1994,June,33.7607
1994,July,44.5223
1994,August,31.9213
1994,September,20.1774
1994,October,69.6349
1994,November,168.397
1994,December,54.453
1995,January,10.5799
1995,February,37.3085
1995,March,69.4802
1995,April,150.358
1995,May,66.9476
1995,June,23.5026
1995,July,27.0207
1995,August,32.2454
1995,September,30.5747
1995,October,87.7315
1995,November,72.5827
1995,December,43.8125
1996,January,24.3053
1996,February,27.9605
1996,March,74.9097
1996,April,71.0857
1996,May,85.918
1996,June,50.8206
1996,July,33.833
1996,August,25.6055
1996,September,23.9495
1996,October,19.2856
1996,November,85.853
1996,December,6.98666
1997,January,8.74094
1997,February,1.15765
1997,March,45.8383
1997,April,188.323
1997,May,63.3745
1997,June,46.6663
1997,July,29.0068
1997,August,28.8858
1997,September,7.70611
1997,October,179.669
1997,November,247.081
1997,December,116.062
1998,January,76.2871
1998,February,59.9695
1998,March,50.1806
1998,April,115.334
1998,May,149.305
1998,June,69.6817
1998,July,36.89
1998,August,29.2989
1998,September,22.4775
1998,October,30.0269
1998,November,72.004
1998,December,12.8653
1999,January,17.4185
1999,February,3.90971
1999,March,85.2266
1999,April,95.084
1999,May,56.7194
1999,June,30.8994
1999,July,34.1242
1999,August,37.8536
1999,September,22.0581
1999,October,62.4518
1999,November,105.164
1999,December,46.1816
2000,January,14.7556
2000,February,4.22166
2000,March,32.876
2000,April,68.5452
2000,May,52.9646
2000,June,37.8617
2000,July,18.5894
2000,August,32.591
2000,September,25.9999
2000,October,54.8905
2000,November,76.8925
2000,December,28.327
2001,January,73.4348
2001,February,9.14876
2001,March,60.4919
2001,April,102.772
2001,May,59.8898
2001,June,39.8834
2001,July,30.7087
2001,August,27.1292
2001,September,21.0991
2001,October,40.8778
2001,November,130.099
2001,December,26.9851
2002,January,33.6236
2002,February,48.709
2002,March,44.18
2002,April,179.977
2002,May,87.748
2002,June,19.0076
2002,July,18.8563
2002,August,26.1242
2002,September,41.4186
2002,October,82.289
2002,November,77.2296
2002,December,121.69
2003,January,10.7769
2003,February,4.79105
2003,March,44.4622
2003,April,194.147
2003,May,126.015
2003,June,29.297
2003,July,20.7714
2003,August,21.4966
2003,September,26.1649
2003,October,38.9502
2003,November,71.3184
2003,December,28.6336
2004,January,54.7009
2004,February,17.7408
2004,March,45.8558
2004,April,107.349
2004,May,50.3418
2004,June,25.4392
2004,July,15.2559
2004,August,17.5807
2004,September,23.9635
2004,October,75.8217
2004,November,77.5228
2004,December,41.0149
2005,January,19.1011
2005,February,13.6037
2005,March,49.6763
2005,April,57.2831
2005,May,83.5191
2005,June,20.1572
2005,July,19.2082
2005,August,24.0252
2005,September,18.9451
2005,October,64.2847
2005,November,46.147
2005,December,18.656
2006,January,22.1909
2006,February,22.2449
2006,March,82.786
2006,April,131.79
2006,May,83.3955
2006,June,25.9291
2006,July,26.0609
2006,August,44.2328
2006,September,49.3262
2006,October,94.12
2006,November,174.698
2006,December,79.3671
2007,January,34.3716
2007,February,25.0993
2007,March,50.4786
2007,April,105.91
2007,May,90.5702
2007,June,23.7514
2007,July,39.9548
2007,August,64.4247
2007,September,66.5627
2007,October,46.6673
2007,November,57.0503
2007,December,48.9737
2008,January,26.4445
2008,February,28.524
2008,March,121.991
2008,April,85.7628
2008,May,63.9306
2008,June,23.9265
2008,July,21.3722
2008,August,29.2983
2008,September,32.8981
2008,October,86.2573
2008,November,110.582
2008,December,13.715
2009,January,32.8746
2009,February,28.0516
2009,March,22.3291
2009,April,92.9484
2009,May,72.8358
2009,June,30.4692
2009,July,18.3059
2009,August,19.4447
2009,September,19.6691
2009,October,130.978
2009,November,77.4053
2009,December,89.9905
2010,January,46.9243
2010,February,44.5868
2010,March,96.3101
2010,April,109.239
2010,May,72.8616
2010,June,45.9529
2010,July,16.5458
2010,August,33.5338
2010,September,16.7171
2010,October,50.512
2010,November,59.7331
2010,December,42.677
2011,January,19.4906
2011,February,28.7876
2011,March,83.5573
2011,April,65.3496
2011,May,84.732
2011,June,27.0977
2011,July,18.9236
2011,August,23.6642
2011,September,35.2312
2011,October,93.8432
2011,November,113.547
2011,December,42.9499
2012,January,46.5721
2012,February,15.5346
2012,March,23.3394
2012,April,107.882
2012,May,95.6116
2012,June,38.07
2012,July,26.9273
2012,August,36.3185
2012,September,42.0646
2012,October,89.3439
2012,November,124.175
2012,December,110.374
2013,January,42.9715
2013,February,16.8768
2013,March,145.511
2013,April,152.402
2013,May,68.7326
2013,June,27.0903
2013,July,25.5887
2013,August,51.8061
2013,September,45.2457
2013,October,36.5215
2013,November,84.2852
2013,December,72.66
2014,January,20.1543
2014,February,34.7628
2014,March,60.4054
2014,April,61.9105
2014,May,66.4223
2014,June,43.8258
2014,July,27.0972
2014,August,36.4492
2014,September,47.0196
2014,October,63.8456
2014,November,102.131
2014,December,50.6548
2015,January,26.2482
2015,February,21.8238
2015,March,48.4594
2015,April,136.338
2015,May,101.457
2015,June,70.9284
2015,July,20.7931
2015,August,17.9734
2015,September,36.7493
2015,October,64.3615
2015,November,163.608
2015,December,63.2356
2016,January,56.7251
2016,February,18.22
2016,March,30.4865
2016,April,166.705
2016,May,70.6712
2016,June,34.905
2016,July,34.5489
2016,August,25.5342
2016,September,15.1428
2016,October,40.0055
2016,November,121.997
2016,December,100.261
